id,Municipio,Taxa
4203600,CAMPOS NOVOS,0.061
3509809,CAMPOS NOVOS PAULISTA,0.003
5102694,CANABRAVA DO NORTE,0.0
2701605,CANAPI,0.013
3111804,CANAPOLIS,0.014
5102702,CANARANA,0.01
3509957,CANAS,0.019
2906402,CANDEAL,0.002
3112000,CANDEIAS,0.074
1100809,CANDEIAS DO JAMARI,0.045
2906709,CANDIDO SALES,0.023
4304358,CANDIOTA,0.002
4104428,CANDOI,0.053
2402204,CANGUARETAMA,0.018
4304507,CANGUCU,0.037
2302800,CANINDE,0.022
4304606,CANOAS,0.224
4203808,CANOINHAS,0.051
1400175,CANTA,0.027
4104451,CANTAGALO,0.015
2906824,CANUDOS,0.008
1300904,CANUTAMA,0.006
4104501,CAPANEMA,0.048
4203253,CAPAO ALTO,0.026
4304622,CAPAO BONITO DO SUL,0.0
4304663,CAPAO DO LEAO,0.055
2801306,CAPELA,0.012
2504033,CAPIM,0.0
3112505,CAPIM BRANCO,0.005
2906873,CAPIM GROSSO,0.027
2102754,CAPINZAL DO NORTE,0.011
2202406,CAPITAO DE CAMPOS,0.005
4104600,CAPITAO LEONIDAS MARQUES,0.022
4203956,CAPIVARI DE BAIXO,0.052
1200179,CAPIXABA,0.004
1400209,CARACARAI,0.009
5002803,CARACOL,0.002
3113008,CARAI,0.012
3113206,CARANDAI,0.039
3300936,CARAPEBUS,0.012
3113404,CARATINGA,0.12
2202539,CARAUBAS DO PIAUI,0.0
2906907,CARAVELAS,0.027
4304705,CARAZINHO,0.052
3301157,CARDOSO MOREIRA,0.013
3113602,CAREACU,0.035
1301159,CAREIRO DA VARZEA,0.004
3201308,CARIACICA,0.208
2303006,CARIDADE,0.024
2801405,CARIRA,0.013
1703867,CARIRI DO TOCANTINS,0.019
4304804,CARLOS BARBOSA,0.02
3301207,CARMO,0.002
3113909,CARMO DA CACHOEIRA,0.053
2801504,CARMOPOLIS,0.01
3114501,CARMOPOLIS DE MINAS,0.052
2102804,CAROLINA,0.001
2604007,CARPINA,0.007
2604106,CARUARU,0.189
3114808,CARVALHOS,0.002
2907202,CASA NOVA,0.002
4104808,CASCAVEL,0.342
4304952,CASEIROS,0.012
3301306,CASIMIRO DE ABREU,0.065
5002902,CASSILANDIA,0.006
1502400,CASTANHAL,0.079
5205059,CASTELANDIA,0.0
3511003,CASTILHO,0.0
5205109,CATALAO,0.095
4204004,CATANDUVAS,0.028
2504207,CATINGUEIRA,0.006
2907400,CATOLANDIA,0.0
2907509,CATU,0.041
3115458,CATUJI,0.016
2303709,CAUCAIA,0.163
3115508,CAXAMBU,0.005
2103000,CAXIAS,0.055
4305108,CAXIAS DO SUL,0.176
2402600,CEARA-MIRIM,0.057
2801603,CEDRO DE SAO JOAO,0.011
3115805,CENTRALINA,0.029
1100056,CEREJEIRAS,0.017
4305124,CERRITO,0.004
4305207,CERRO LARGO,0.004
4105300,CEU AZUL,0.049
5205455,CEZARINA,0.016
2604502,CHA GRANDE,0.0
5002951,CHAPADAO DO SUL,0.002
4204202,CHAPECO,0.099
4105409,CHOPINZINHO,0.013
2303956,CHOROZINHO,0.03
2907707,CHORROCHO,0.005
1100924,CHUPINGUAIA,0.001
4105508,CIANORTE,0.0
2907806,CICERO DANTAS,0.008
2103257,CIDELANDIA,0.003
2907905,CIPO,0.006
4305504,CIRIACO,0.002
3116506,CLARO DOS POCOES,0.016
5103056,CLAUDIA,0.013
2202703,COCAL,0.004
2202711,COCAL DE TELHA,0.008
5205513,COCALZINHO DE GOIAS,0.056
2103307,CODO,0.012
3201506,COLATINA,0.083
4305587,COLINAS,0.002
1705508,COLINAS DO TOCANTINS,0.024
4105805,COLOMBO,0.12
2202752,COLONIA DO GURGUEIA,0.005
2702108,COLONIA LEOPOLDINA,0.0
4305603,COLORADO,0.001
1100064,COLORADO DO OESTE,0.038
3116902,COMENDADOR GOMES,0.02
3300951,COMENDADOR LEVY GASPARIAN,0.022
5103304,COMODORO,0.031
3201605,CONCEICAO DA BARRA,0.051
2908200,CONCEICAO DA FEIRA,0.013
3117306,CONCEICAO DAS ALAGOAS,0.004
3301405,CONCEICAO DE MACABU,0.002
2908309,CONCEICAO DO ALMEIDA,0.019
3201704,CONCEICAO DO CASTELO,0.006
2908507,CONCEICAO DO JACUIPE,0.041
4204301,CONCORDIA,0.028
2604601,CONDADO,0.008
2908606,CONDE,0.03
4305702,CONDOR,0.001
5103353,CONFRESA,0.003
3117900,CONGONHAL,0.018
3118007,CONGONHAS,0.097
3118304,CONSELHEIRO LAFAIETE,0.089
4106100,CONSELHEIRO MAIRINCK,0.008
3118601,CONTAGEM,0.32
4106209,CONTENDA,0.016
2702207,COQUEIRO SECO,0.0
4106308,CORBELIA,0.049
4204350,CORDILHEIRA ALTA,0.025
2304004,COREAU,0.005
4106407,CORNELIO PROCOPIO,0.037
4305871,CORONEL BARROS,0.01
4305900,CORONEL BICACO,0.001
3119401,CORONEL FABRICIANO,0.006
2909208,CORONEL JOAO SA,0.0
4106506,CORONEL VIVIDA,0.028
3119807,CORREGO DANTA,0.023
4204558,CORREIA PINTO,0.03
2202901,CORRENTE,0.005
2909307,CORRENTINA,0.029
5003207,CORUMBA,0.032
5205802,CORUMBA DE GOIAS,0.027
4204509,CORUPA,0.046
5003256,COSTA RICA,0.0
5003306,COXIM,0.028
4204608,CRICIUMA,0.011
4306056,CRISTAL,0.022
2203008,CRISTALANDIA DO PIAUI,0.0
5206206,CRISTALINA,0.149
3120409,CRISTIANO OTONI,0.023
2801702,CRISTINAPOLIS,0.016
2203107,CRISTINO CASTRO,0.012
2909703,CRISTOPOLIS,0.022
1706258,CRIXAS DO TOCANTINS,0.003
4306106,CRUZ ALTA,0.022
2909802,CRUZ DAS ALMAS,0.012
2504900,CRUZ DO ESPIRITO SANTO,0.022
3513405,CRUZEIRO,0.013
4106605,CRUZEIRO DO OESTE,0.001
5103403,CUIABA,0.099
2505105,CUITE,0.002
5206602,CUMARI,0.015
4204707,CUNHA PORA,0.022
2605004,CUPIRA,0.005
2909901,CURACA,0.0
4106902,CURITIBA,0.578
4204806,CURITIBANOS,0.033
2403103,CURRAIS NOVOS,0.017
3120870,CURRAL DE DENTRO,0.003
3120904,CURVELO,0.048
2605103,CUSTODIA,0.017
1706506,DARCINOPOLIS,0.01
2910008,DARIO MEIRA,0.0
5206909,DAVINOPOLIS,0.003
2702405,DELMIRO GOUVEIA,0.017
3121258,DELTA,0.029
2203305,DEMERVAL LOBAO,0.029
5003454,DEODAPOLIS,0.006
4204905,DESCANSO,0.008
4107124,DIAMANTE DO SUL,0.001
5103502,DIAMANTINO,0.091
4306379,DILERMANDO DE AGUIAR,0.008
4205001,DIONISIO CERQUEIRA,0.018
3122009,DIVINO,0.023
3122355,DIVISA ALEGRE,0.009
4306403,DOIS IRMAOS,0.025
5003488,DOIS IRMAOS DO BURITI,0.01
2702504,DOIS RIACHOS,0.004
5103601,DOM AQUINO,0.008
3122504,DOM CAVATI,0.009
1502939,DOM ELISEU,0.034
2203404,DOM EXPEDITO LOPES,0.012
4306601,DOM PEDRITO,0.017
2103802,DOM PEDRO,0.005
4306551,DOM PEDRO DE ALCANTARA,0.008
3201902,DOMINGOS MARTINS,0.087
5003504,DOURADINA,0.004
5003702,DOURADOS,0.142
1707306,DUERE,0.0
3301702,DUQUE DE CAXIAS,0.708
5003751,ELDORADO,0.018
4306767,ELDORADO DO SUL,0.1
2203503,ELESBAO VELOSO,0.009
2910404,ENCRUZILHADA,0.019
4306908,ENCRUZILHADA DO SUL,0.0
3123700,ENGENHEIRO CALDAS,0.038
4205175,ENTRE RIOS,0.019
4306932,ENTRE-IJUIS,0.02
1200252,EPITACIOLANDIA,0.005
4307005,ERECHIM,0.06
4205209,ERVAL VELHO,0.019
2605202,ESCADA,0.012
3124104,ESMERALDAS,0.057
2506004,ESPERANCA,0.007
2910602,ESPLANADA,0.015
2802106,ESTANCIA,0.028
4307609,ESTANCIA VELHA,0.023
4307708,ESTEIO,0.059
3124500,ESTIVA,0.043
2104057,ESTREITO,0.017
4307807,ESTRELA,0.043
2702553,ESTRELA DE ALAGOAS,0.008
5207501,ESTRELA DO NORTE,0.007
3124807,ESTRELA DO SUL,0.001
2910701,EUCLIDES DA CUNHA,0.01
3124906,EUGENOPOLIS,0.007
2910727,EUNAPOLIS,0.077
2304285,EUSEBIO,0.034
3125002,EWBANK DA CAMARA,0.022
3125101,EXTREMA,0.122
2403608,EXTREMOZ,0.019
2304301,FARIAS BRITO,0.0
4107553,FAROL,0.002
4307906,FARROUPILHA,0.0
2910750,FATIMA,0.006
5003801,FATIMA DO SUL,0.007
4205308,FAXINAL DOS GUEDES,0.018
4107652,FAZENDA RIO GRANDE,0.122
4308078,FAZENDA VILANOVA,0.014
1200302,FEIJO,0.001
2910800,FEIRA DE SANTANA,0.407
2403707,FELIPE GUERRA,0.003
3125705,FELIXLANDIA,0.028
4107736,FERNANDES PINHEIRO,0.018
2403756,FERNANDO PEDROZA,0.003
1600238,FERREIRA GOMES,0.003
3125952,FERVEDOURO,0.022
1707652,FIGUEIROPOLIS,0.004
2910859,FILADELFIA,0.011
2702801,FLEXEIRAS,0.018
4107850,FLOR DA SERRA DO SUL,0.019
4205357,FLOR DO SERTAO,0.0
2403806,FLORANIA,0.005
2605608,FLORES,0.009
5207907,FLORES DE GOIAS,0.016
4107900,FLORESTA,0.018
3126000,FLORESTAL,0.011
2203909,FLORIANO,0.09
4205407,FLORIANOPOLIS,0.117
4308300,FONTOURA XAVIER,0.018
4308409,FORMIGUEIRO,0.0
5208004,FORMOSA,0.084
2911105,FORMOSA DO RIO PRETO,0.003
1708205,FORMOSO DO ARAGUAIA,0.007
4308433,FORQUETINHA,0.0
2304350,FORQUILHA,0.031
2304400,FORTALEZA,0.397
1708254,FORTALEZA DO TABOCAO,0.011
4108304,FOZ DO IGUACU,0.275
4108452,FOZ DO JORDAO,0.0
4108320,FRANCISCO ALVES,0.004
2204105,FRANCISCO AYRES,0.002
2204154,FRANCISCO MACEDO,0.001
3126703,FRANCISCO SA,0.057
2204204,FRANCISCO SANTOS,0.002
3516408,FRANCO DA ROCHA,0.0
2304509,FRECHEIRINHA,0.006
4308508,FREDERICO WESTPHALEN,0.052
3126901,FREI INOCENCIO,0.007
2802304,FREI PAULO,0.009
3127008,FRONTEIRA,0.023
2204303,FRONTEIRAS,0.004
3127073,FRUTA DE LEITE,0.014
3127107,FRUTAL,0.071
2404002,FRUTUOSO GOMES,0.0
3202207,FUNDAO,0.056
2605905,GAMELEIRA,0.004
2911204,GANDU,0.023
2606002,GARANHUNS,0.085
4308607,GARIBALDI,0.053
4205704,GAROPABA,0.005
1503077,GARRAFAO DO NORTE,0.0
4205803,GARUVA,0.054
4205902,GASPAR,0.071
2911253,GAVIAO,0.005
2204352,GEMINIANO,0.006
5103908,GENERAL CARNEIRO,0.096
4308854,GENTIL,0.002
3517000,GETULINA,0.005
2204402,GILBUES,0.002
5004007,GLORIA DE DOURADOS,0.013
4309050,GLORINHA,0.019
3127388,GOIANA,0.051
5208400,GOIANAPOLIS,0.041
5208707,GOIANIA,0.213
2404200,GOIANINHA,0.02
5209101,GOIATUBA,0.018
4108601,GOIOERE,0.005
4206009,GOVERNADOR CELSO RAMOS,0.013
2404309,GOVERNADOR DIX-SEPT ROSADO,0.004
2104552,GOVERNADOR EDISON LOBAO,0.013
2911600,GOVERNADOR MANGABEIRA,0.013
2104651,GOVERNADOR NEWTON BELLO,0.002
2104677,GOVERNADOR NUNES FREIRE,0.0
3127701,GOVERNADOR VALADARES,0.244
2104800,GRAJAU,0.008
3127800,GRAO MOGOL,0.047
2606408,GRAVATA,0.076
4309209,GRAVATAI,0.08
4309308,GUAIBA,0.061
3517208,GUAICARA,0.008
3517307,GUAIMBE,0.005
4108809,GUAIRA,0.022
4108908,GUAIRACA,0.014
1100106,GUAJARA-MIRIM,0.013
4108957,GUAMIRANGA,0.012
2911709,GUANAMBI,0.011
3301850,GUAPIMIRIM,0.122
4109005,GUAPIRAMA,0.003
5209200,GUAPO,0.027
4206405,GUARACIABA,0.022
1709302,GUARAI,0.042
4206504,GUARAMIRIM,0.13
4309506,GUARANI DAS MISSOES,0.004
5209408,GUARANI DE GOIAS,0.001
4109302,GUARANIACU,0.042
5104104,GUARANTA DO NORTE,0.05
3202405,GUARAPARI,0.058
4109401,GUARAPUAVA,0.113
3128501,GUARARA,0.003
3518305,GUARAREMA,0.012
3518404,GUARATINGUETA,0.053
4109609,GUARATUBA,0.106
4206603,GUARUJA DO SUL,0.011
3518800,GUARULHOS,0.849
3128709,GUAXUPE,0.015
5004106,GUIA LOPES DA LAGUNA,0.012
3128907,GUIMARANIA,0.005
3129103,GURINHATA,0.009
2506400,GURINHEM,0.01
1709500,GURUPI,0.043
5209705,HIDROLANDIA,0.058
5209804,HIDROLINA,0.002
2305233,HORIZONTE,0.043
4309654,HULHA NEGRA,0.004
4309704,HUMAITA,0.024
2105005,HUMBERTO DE CAMPOS,0.0
2606507,IATI,0.002
4109708,IBAITI,0.026
2305266,IBARETAMA,0.0
3202454,IBATIBA,0.052
4109757,IBEMA,0.013
3129509,IBIA,0.029
2606606,IBIMIRIM,0.003
4109807,IBIPORA,0.067
2912608,IBIQUERA,0.0
3202504,IBIRACU,0.067
4206900,IBIRAMA,0.039
2912707,IBIRAPITANGA,0.024
2912806,IBIRAPUA,0.007
2913002,IBITIARA,0.008
2913200,IBOTIRAMA,0.008
2305357,ICAPUI,0.0
4207007,ICARA,0.079
4109906,ICARAIMA,0.003
2105104,ICATU,0.0
3519808,ICEM,0.014
2305407,ICO,0.019
3202603,ICONHA,0.025
2404606,IELMO MARINHO,0.001
2703106,IGACI,0.001
2913408,IGAPORA,0.002
3130101,IGARAPE,0.052
2105153,IGARAPE DO MEIO,0.004
1503200,IGARAPE-ACU,0.003
2606804,IGARASSU,0.19
3130200,IGARATINGA,0.02
2703205,IGREJA NOVA,0.001
4310207,IJUI,0.025
2913606,ILHEUS,0.032
4207106,ILHOTA,0.025
4110078,IMBAU,0.035
4207304,IMBITUBA,0.14
4110102,IMBITUVA,0.04
2105302,IMPERATRIZ,0.136
4110300,INAJA,0.0
4207502,INDAIAL,0.185
4110409,INDIANOPOLIS,0.009
5209952,INDIARA,0.016
2506806,INGA,0.017
2913705,INHAMBUPE,0.018
2703304,INHAPI,0.006
3130903,INHAPIM,0.059
2204709,INHUMA,0.01
5210109,IPAMERI,0.027
3131307,IPATINGA,0.005
2305704,IPAUMIRIM,0.007
2913903,IPIAU,0.008
4110508,IPIRANGA,0.008
2204808,IPIRANGA DO PIAUI,0.003
1503457,IPIXUNA DO PARA,0.014
2607208,IPOJUCA,0.009
3131505,IPUIUNA,0.008
2306009,IRACEMA,0.005
4207759,IRACEMINHA,0.013
4310504,IRAI,0.011
