id,Municipio,Taxa
2702207,COQUEIRO SECO,1
4106308,CORBELIA,49
4204350,CORDILHEIRA ALTA,25
2304004,COREAU,6
4106407,CORNELIO PROCOPIO,37
4305871,CORONEL BARROS,11
4305900,CORONEL BICACO,2
3119401,CORONEL FABRICIANO,7
2909208,CORONEL JOAO SA,1
4106506,CORONEL VIVIDA,28
3119807,CORREGO DANTA,23
4204558,CORREIA PINTO,30
2202901,CORRENTE,6
2909307,CORRENTINA,29
5003207,CORUMBA,32
5205802,CORUMBA DE GOIAS,27
4204509,CORUPA,46
5003256,COSTA RICA,1
5003306,COXIM,28
4204608,CRICIUMA,12
4306056,CRISTAL,22
2203008,CRISTALANDIA DO PIAUI,1
5206206,CRISTALINA,146
3120409,CRISTIANO OTONI,23
2801702,CRISTINAPOLIS,17
2203107,CRISTINO CASTRO,13
2909703,CRISTOPOLIS,22
1706258,CRIXAS DO TOCANTINS,4
4306106,CRUZ ALTA,22
2909802,CRUZ DAS ALMAS,13
2504900,CRUZ DO ESPIRITO SANTO,22
3513405,CRUZEIRO,14
4106605,CRUZEIRO DO OESTE,2
5103403,CUIABA,98
2505105,CUITE,3
5206602,CUMARI,16
4204707,CUNHA PORA,22
2605004,CUPIRA,6
2909901,CURACA,1
4106902,CURITIBA,565
4204806,CURITIBANOS,33
2403103,CURRAIS NOVOS,18
3120870,CURRAL DE DENTRO,4
3120904,CURVELO,48
2605103,CUSTODIA,18
1706506,DARCINOPOLIS,11
2910008,DARIO MEIRA,1
5206909,DAVINOPOLIS,4
2702405,DELMIRO GOUVEIA,18
3121258,DELTA,29
2203305,DEMERVAL LOBAO,29
5003454,DEODAPOLIS,7
4204905,DESCANSO,9
4107124,DIAMANTE DO SUL,2
5103502,DIAMANTINO,90
4306379,DILERMANDO DE AGUIAR,9
4205001,DIONISIO CERQUEIRA,19
3122009,DIVINO,23
3122355,DIVISA ALEGRE,10
4306403,DOIS IRMAOS,25
5003488,DOIS IRMAOS DO BURITI,11
2702504,DOIS RIACHOS,5
5103601,DOM AQUINO,9
3122504,DOM CAVATI,10
1502939,DOM ELISEU,34
2203404,DOM EXPEDITO LOPES,13
4306601,DOM PEDRITO,18
2103802,DOM PEDRO,6
4306551,DOM PEDRO DE ALCANTARA,9
3201902,DOMINGOS MARTINS,86
5003504,DOURADINA,5
5003702,DOURADOS,140
1707306,DUERE,1
3301702,DUQUE DE CAXIAS,692
5003751,ELDORADO,19
,ELDORADO DO CARAJAS,11
4306767,ELDORADO DO SUL,99
2203503,ELESBAO VELOSO,10
,EMBU DAS ARTES,131
2910404,ENCRUZILHADA,20
4306908,ENCRUZILHADA DO SUL,1
3123700,ENGENHEIRO CALDAS,38
4205175,ENTRE RIOS,20
4306932,ENTRE-IJUIS,21
1200252,EPITACIOLANDIA,6
4307005,ERECHIM,60
4205209,ERVAL VELHO,20
2605202,ESCADA,13
3124104,ESMERALDAS,57
2506004,ESPERANCA,8
2910602,ESPLANADA,16
2802106,ESTANCIA,28
4307609,ESTANCIA VELHA,23
4307708,ESTEIO,59
3124500,ESTIVA,43
2104057,ESTREITO,18
4307807,ESTRELA,43
2702553,ESTRELA DE ALAGOAS,9
5207501,ESTRELA DO NORTE,8
3124807,ESTRELA DO SUL,2
2910701,EUCLIDES DA CUNHA,11
3124906,EUGENOPOLIS,8
2910727,EUNAPOLIS,76
2304285,EUSEBIO,34
3125002,EWBANK DA CAMARA,22
3125101,EXTREMA,120
2403608,EXTREMOZ,20
2304301,FARIAS BRITO,1
4107553,FAROL,3
4307906,FARROUPILHA,1
2910750,FATIMA,7
5003801,FATIMA DO SUL,8
4205308,FAXINAL DOS GUEDES,19
4107652,FAZENDA RIO GRANDE,120
4308078,FAZENDA VILANOVA,15
1200302,FEIJO,2
2910800,FEIRA DE SANTANA,398
2403707,FELIPE GUERRA,4
3125705,FELIXLANDIA,28
4107736,FERNANDES PINHEIRO,19
2403756,FERNANDO PEDROZA,4
1600238,FERREIRA GOMES,4
3125952,FERVEDOURO,22
1707652,FIGUEIROPOLIS,5
,FIGUEIROPOLIS DOESTE,2
2910859,FILADELFIA,12
2702801,FLEXEIRAS,19
4107850,FLOR DA SERRA DO SUL,20
4205357,FLOR DO SERTAO,1
2403806,FLORANIA,6
2605608,FLORES,10
5207907,FLORES DE GOIAS,17
4107900,FLORESTA,19
3126000,FLORESTAL,12
2203909,FLORIANO,89
4205407,FLORIANOPOLIS,115
4308300,FONTOURA XAVIER,19
4308409,FORMIGUEIRO,1
5208004,FORMOSA,83
2911105,FORMOSA DO RIO PRETO,4
1708205,FORMOSO DO ARAGUAIA,8
4308433,FORQUETINHA,1
2304350,FORQUILHA,31
2304400,FORTALEZA,388
1708254,FORTALEZA DO TABOCAO,12
4108304,FOZ DO IGUACU,269
4108452,FOZ DO JORDAO,1
4108320,FRANCISCO ALVES,5
2204105,FRANCISCO AYRES,3
2204154,FRANCISCO MACEDO,2
3126703,FRANCISCO SA,57
2204204,FRANCISCO SANTOS,3
3516408,FRANCO DA ROCHA,1
2304509,FRECHEIRINHA,7
4308508,FREDERICO WESTPHALEN,52
3126901,FREI INOCENCIO,8
2802304,FREI PAULO,10
3127008,FRONTEIRA,23
2204303,FRONTEIRAS,5
3127073,FRUTA DE LEITE,15
3127107,FRUTAL,70
2404002,FRUTUOSO GOMES,1
3202207,FUNDAO,56
2605905,GAMELEIRA,5
2911204,GANDU,23
2606002,GARANHUNS,84
4308607,GARIBALDI,53
4205704,GAROPABA,6
1503077,GARRAFAO DO NORTE,1
4205803,GARUVA,54
4205902,GASPAR,70
2911253,GAVIAO,6
2204352,GEMINIANO,7
5103908,GENERAL CARNEIRO,95
4308854,GENTIL,3
3517000,GETULINA,6
2204402,GILBUES,3
5004007,GLORIA DE DOURADOS,14
,GLORIA DOESTE,6
4309050,GLORINHA,20
3127388,GOIANA,51
5208400,GOIANAPOLIS,41
5208707,GOIANIA,209
2404200,GOIANINHA,21
5209101,GOIATUBA,19
4108601,GOIOERE,6
4206009,GOVERNADOR CELSO RAMOS,14
2404309,GOVERNADOR DIX-SEPT ROSADO,5
2104552,GOVERNADOR EDISON LOBAO,14
2911600,GOVERNADOR MANGABEIRA,14
2104651,GOVERNADOR NEWTON BELLO,3
2104677,GOVERNADOR NUNES FREIRE,1
3127701,GOVERNADOR VALADARES,239
2104800,GRAJAU,9
3127800,GRAO MOGOL,47
2606408,GRAVATA,75
4309209,GRAVATAI,79
4309308,GUAIBA,61
3517208,GUAICARA,9
3517307,GUAIMBE,6
4108809,GUAIRA,22
4108908,GUAIRACA,15
1100106,GUAJARA-MIRIM,14
4108957,GUAMIRANGA,13
2911709,GUANAMBI,12
3301850,GUAPIMIRIM,120
4109005,GUAPIRAMA,4
5209200,GUAPO,27
4206405,GUARACIABA,22
1709302,GUARAI,42
4206504,GUARAMIRIM,128
4309506,GUARANI DAS MISSOES,5
5209408,GUARANI DE GOIAS,2
4109302,GUARANIACU,42
5104104,GUARANTA DO NORTE,50
3202405,GUARAPARI,58
4109401,GUARAPUAVA,111
3128501,GUARARA,4
3518305,GUARAREMA,13
3518404,GUARATINGUETA,53
4109609,GUARATUBA,104
4206603,GUARUJA DO SUL,12
3518800,GUARULHOS,830
3128709,GUAXUPE,16
5004106,GUIA LOPES DA LAGUNA,13
3128907,GUIMARANIA,6
3129103,GURINHATA,10
2506400,GURINHEM,11
1709500,GURUPI,43
,HERVAL DOESTE,15
5209705,HIDROLANDIA,58
5209804,HIDROLINA,3
2305233,HORIZONTE,43
4309654,HULHA NEGRA,5
4309704,HUMAITA,24
2105005,HUMBERTO DE CAMPOS,1
2606507,IATI,3
4109708,IBAITI,26
2305266,IBARETAMA,1
3202454,IBATIBA,52
4109757,IBEMA,14
3129509,IBIA,29
2606606,IBIMIRIM,4
4109807,IBIPORA,66
2912608,IBIQUERA,1
3202504,IBIRACU,66
4206900,IBIRAMA,39
2912707,IBIRAPITANGA,24
2912806,IBIRAPUA,8
2913002,IBITIARA,9
2913200,IBOTIRAMA,9
2305357,ICAPUI,1
4207007,ICARA,78
4109906,ICARAIMA,4
2105104,ICATU,1
3519808,ICEM,15
2305407,ICO,20
3202603,ICONHA,25
2404606,IELMO MARINHO,2
2703106,IGACI,2
2913408,IGAPORA,3
3130101,IGARAPE,52
2105153,IGARAPE DO MEIO,5
1503200,IGARAPE-ACU,4
2606804,IGARASSU,186
3130200,IGARATINGA,21
2703205,IGREJA NOVA,2
4310207,IJUI,25
2913606,ILHEUS,32
4207106,ILHOTA,25
4110078,IMBAU,35
4207304,IMBITUBA,138
4110102,IMBITUVA,40
2105302,IMPERATRIZ,134
4110300,INAJA,1
4207502,INDAIAL,182
4110409,INDIANOPOLIS,10
5209952,INDIARA,17
2506806,INGA,18
2913705,INHAMBUPE,19
2703304,INHAPI,7
3130903,INHAPIM,59
2204709,INHUMA,11
5210109,IPAMERI,27
3131307,IPATINGA,6
2305704,IPAUMIRIM,8
2913903,IPIAU,9
4110508,IPIRANGA,9
2204808,IPIRANGA DO PIAUI,4
1503457,IPIXUNA DO PARA,15
2607208,IPOJUCA,10
3131505,IPUIUNA,9
2306009,IRACEMA,6
4207759,IRACEMINHA,14
4310504,IRAI,12
2914208,IRAJUBA,19
4207809,IRANI,30
4207858,IRATI,63
2306108,IRAUCUBA,25
4207908,IRINEOPOLIS,20
1503507,IRITUIA,7
3202652,IRUPI,4
4310538,ITAARA,22
2802908,ITABAIANA,79
2914653,ITABELA,40
2914703,ITABERABA,23
5210406,ITABERAI,2
3131901,ITABIRITO,58
3301900,ITABORAI,207
2914802,ITABUNA,77
2915304,ITAGIMIRIM,15
3302007,ITAGUAI,115
3132206,ITAGUARA,49
5210562,ITAGUARI,1
2607505,ITAIBA,1
4208104,ITAIOPOLIS,18
2306256,ITAITINGA,51
1503606,ITAITUBA,73
5210802,ITAJA,15
4208203,ITAJAI,364
2915502,ITAJUIPE,8
3302056,ITALVA,30
2915601,ITAMARAJU,40
3132701,ITAMBACURI,31
3133006,ITAMONTE,25
3133105,ITANHANDU,7
3133303,ITAOBIM,27
,ITAPAJE,11
2916203,ITAPE,1
2916302,ITAPEBI,16
3522208,ITAPECERICA DA SERRA,93
2105401,ITAPECURU MIRIM,37
4208302,ITAPEMA,219
3202801,ITAPEMIRIM,22
3302205,ITAPERUNA,60
3522406,ITAPEVA,39
2306405,ITAPIPOCA,4
5211008,ITAPIRAPUA,3
2607752,ITAPISSUMA,8
3522802,ITAPORANGA,4
,ITAPORANGA DAJUDA,20
1101104,ITAPUA DO OESTE,22
2916708,ITAQUARA,2
4310603,ITAQUI,10
5004601,ITAQUIRAI,49
2306553,ITAREMA,1
3302254,ITATIAIA,56
3133709,ITATIAIUCU,59
2916856,ITATIM,20
2306603,ITATIRA,3
2404903,ITAU,7
5104559,ITAUBA,35
2105427,ITINGA DO MARANHAO,8
5104609,ITIQUIRA,19
3134202,ITUIUTABA,50
5211503,ITUMBIARA,53
1503705,ITUPIRANGA,8
3203007,IUNA,7
5004700,IVINHEMA,28
4310801,IVOTI,13
2607901,JABOATAO DOS GUARARAPES,235
3524402,JACAREI,89
4111803,JACAREZINHO,39
3524501,JACI,5
5104807,JACIARA,96
2917508,JACOBINA,1
2205151,JACOBINA DO PIAUI,2
3524600,JACUPIRANGA,18
2917607,JAGUAQUARA,39
3135001,JAGUARACU,16
4311007,JAGUARAO,16
2917706,JAGUARARI,27
3203056,JAGUARE,18
4311106,JAGUARI,18
2306801,JAGUARIBARA,1
2306900,JAGUARIBE,17
4208807,JAGUARUNA,26
2205201,JAICOS,7
3135076,JAMPRUCA,4
5211701,JANDAIA,9
4112108,JANDAIA DO SUL,50
2917904,JANDAIRA,3
5104906,JANGADA,24
4112207,JANIOPOLIS,2
2803302,JAPARATUBA,12
3302270,JAPERI,14
4112306,JAPIRA,5
5211800,JARAGUA,33
4208906,JARAGUA DO SUL,44
5004908,JARAGUARI,31
5005004,JARDIM,27
2405702,JARDIM DO SERIDO,9
1100114,JARU,116
5211909,JATAI,78
4112702,JATAIZINHO,13
5005103,JATEI,1
2307205,JATI,6
2608057,JATOBA,5
5105002,JAURU,5
2105476,JENIPAPO DOS VIEIRAS,7
2703759,JEQUIA DA PRAIA,9
2918001,JEQUIE,71
3135605,JEQUITAI,20
2918100,JEREMOABO,14
2205300,JERUMENHA,6
1100122,JI-PARANA,140
2918209,JIQUIRICA,1
2918308,JITAUNA,9
4209003,JOACABA,35
2405801,JOAO CAMARA,16
3136207,JOAO MONLEVADE,71
3203130,JOAO NEIVA,55
2507507,JOAO PESSOA,366
3136306,JOAO PINHEIRO,105
2703809,JOAQUIM GOMES,15
2608206,JOAQUIM NABUCO,7
4209102,JOINVILLE,261
3525706,JOSE BONIFACIO,20
2406007,JOSE DA PENHA,2
3136652,JUATUBA,88
2507705,JUAZEIRINHO,16
2918407,JUAZEIRO,57
2608255,JUCATI,16
2406106,JUCURUTU,12
5105150,JUINA,2
3136702,JUIZ DE FORA,126
4311205,JULIO DE CASTILHOS,19
2507804,JUNCO DO SERIDO,2
2704005,JUNQUEIRO,32
2608305,JUPI,18
3526100,JUQUIA,43
3526209,JUQUITIBA,74
4112959,JURANDA,17
5105200,JUSCIMEIRA,27
5212204,JUSSARA,31
5005152,JUTI,18
1302405,LABREA,1
5005202,LADARIO,3
